Range,ARI,AMI
5,0.05553315857397859,0.2659078124736919
6,0.050411109889034335,0.2639157155373537
7,0.08669021038084894,0.29425099848067765
8,0.07522513545424225,0.28539339437684547
9,0.06009836224474106,0.2689140017395346
10,0.007842961497322262,0.029406957569508688
11,0.06763548430963978,0.2628620219029219
12,0.2959936696522973,0.3765227400829308
13,0.2579313184086367,0.3581326863740583
14,0.24934277870912308,0.3587595850970806
15,0.008128183086454082,0.01983480958748256
16,0.3285806072332609,0.4237447018357771
17,0.005395718907853551,0.021330224270311466
18,0.004519489558218692,0.0171939023537337
19,0.007024859791642558,0.01933368275951051
