Range,ARI,AMI
2,0.4433954787556238,0.6308615907989763
3,0.2722878967480153,0.5456560447074006
4,0.27133714167107076,0.5386238291524033
5,0.4722170822800312,0.6614968204815848
6,0.471712658990098,0.6595698097085443
7,0.4543484012351572,0.6399636100001348
8,0.2425467993938217,0.5005699686069531
9,0.24159576581758901,0.4920675395836916
10,0.2453487161807874,0.49988843367437386
11,0.4407968890167676,0.6017521973864708
12,0.447320242321227,0.6142799691686783
13,0.447320242321227,0.6142799691686783
14,0.43958165350196937,0.5999401140859268
15,0.4326162038393536,0.5905337942973188
16,0.42745278353801536,0.5844930379931569
