Range,ARI,AMI
1,0.0,-3.307451013827916e-13
2,0.002183190483202404,0.02218389713964862
3,0.10284724754257904,0.24446208478408368
4,0.48017951290928945,0.593747015762298
5,0.6142442249561093,0.7699904991680252
6,0.28602086792889486,0.577358545494976
7,0.05773239451658874,0.21909282236139618
8,0.0,-2.984608824854285e-17
9,0.0,-2.984608824854285e-17
10,0.0,-2.984608824854285e-17
11,0.0,-2.984608824854285e-17
12,0.0,-2.984608824854285e-17
13,0.0,-2.984608824854285e-17
14,0.0,-2.984608824854285e-17
15,0.0,-2.984608824854285e-17
