Range,ARI,AMI
7,0.3026915443477712,0.5488142196418732
8,0.40123030943736626,0.5863690086930063
9,0.49388428137633245,0.6326001795213038
10,0.5732192321912013,0.673188487230286
11,0.5737026436282886,0.6886200786223126
12,0.5672834303373459,0.6936372983019593
13,0.7016850583789148,0.7456684582539835
14,0.6828271629151305,0.7448657930880135
15,0.6425396391395268,0.7317635960454443
16,0.6883838551451332,0.7731398993749085
17,0.6739092565327366,0.7600231825810831
18,0.6535912664770928,0.7590537222872736
19,0.5919275234899867,0.707888933673451
20,0.6543859472297044,0.769711284067104
21,0.632032870738763,0.7569560199775859
