Range,ARI,AMI
1,0.4507002620815179,0.5003403664679827
2,0.45662724913053004,0.4393579776993829
3,0.03805441187768192,0.10394189359161841
4,0.03805441187768192,0.10394189359161841
5,0.03805441187768192,0.10394189359161841
6,0.004373382235469137,0.0151931854942762
7,0.004373382235469137,0.0151931854942762
8,0.004373382235469137,0.0151931854942762
9,0.004373382235469137,0.0151931854942762
10,0.004373382235469137,0.0151931854942762
11,0.004373382235469137,0.0151931854942762
12,0.004373382235469137,0.0151931854942762
13,0.004373382235469137,0.0151931854942762
14,0.004373382235469137,0.0151931854942762
15,0.004373382235469137,0.0151931854942762
