Range,ARI,AMI
5,0.12157614495960485,0.359516228897808
6,0.17871116927374142,0.41814367379205214
7,0.3174330661678351,0.4963989603768162
8,0.3198710458080157,0.4792152201698165
9,0.3850141697267184,0.510250668952335
10,0.41079844659889014,0.5366251470208345
11,0.6711578340376375,0.6252171578799413
12,0.6456972203667917,0.6076676291969271
13,0.7060767170718754,0.654636310807915
14,0.7280325508759432,0.6809239620551502
15,0.7030425313324874,0.6593570488208859
16,0.6445455409648959,0.6123384837564778
17,0.6128707714260436,0.5862924742526769
18,0.41358853108157023,0.47683394175712784
19,0.41358853108157023,0.47683394175712784
