Range,ARI,AMI
2,0.09876397477264653,0.2549003092792168
3,0.09636611592949883,0.25791324809614957
4,0.2229871149485084,0.33379918023312255
5,0.2201857691106235,0.32142407503716636
6,0.22778608026127975,0.3326901238082141
7,0.2419030528852344,0.35692000960035325
8,0.24989543232456926,0.3707959059752886
9,0.2467654041483271,0.3639479506050423
10,0.24118655208575282,0.35178828300123544
11,0.2387380258952739,0.34634920726071927
12,0.22990071934687956,0.3240647094618039
13,0.0,-2.8060519038063536e-16
14,0.0,-2.8060519038063536e-16
15,0.0,-2.8060519038063536e-16
16,0.0,-2.8060519038063536e-16
