Range,ARI,AMI
5,0.07903227700131854,0.2672058258329443
6,0.11933449445495063,0.3113081815298343
7,0.1361379540527028,0.3307789448835309
8,0.16674509245191307,0.33853786586678714
9,0.17843460369913605,0.33498984542374527
10,0.19108880449130677,0.34018206687728386
11,0.20737100556916638,0.34915998085736516
12,0.2439883433407408,0.3854823229345905
13,0.238362226207313,0.37132566140664314
14,0.2151944149394052,0.36228197727252814
15,0.24385276014890395,0.37011028678502567
16,0.30035918798177674,0.3974818879247787
17,0.30035918798177674,0.3974818879247787
18,0.21842676369986802,0.3481111213210168
19,0.23248871312716055,0.3112218505133504
