Range,ARI,AMI
2,0.3575868922593897,0.5173429030153721
3,0.539408633653917,0.6722054333446708
4,0.5637510205230709,0.7125764811325075
5,0.5637510205230709,0.7125764811325075
6,0.5637510205230709,0.7125764811325075
7,0.539408633653917,0.6722054333446708
8,0.539408633653917,0.6722054333446708
9,0.5637510205230709,0.7125764811325075
10,0.5637510205230709,0.7125764811325075
11,0.5637510205230709,0.7125764811325075
12,0.5535820784912958,0.690372367407639
13,0.5437620604567994,0.6773700662721576
14,0.5437620604567994,0.6773700662721576
15,0.5437620604567994,0.6773700662721576
16,0.5437620604567994,0.6773700662721576
