Range,ARI,AMI
2,0.389165416962865,0.45715238601393693
3,0.41027477873957025,0.6075955627740042
4,0.25667324860423985,0.4204560340097416
5,0.265611354021555,0.42517257855745605
6,0.2728970297224604,0.4263305040329076
7,0.28275051345785746,0.4273384986742531
8,0.28070986267200954,0.4288560728729798
9,0.27607469544879654,0.42631404176261173
10,0.2731146681127495,0.4269137672541578
11,0.2795289132473675,0.42821691758006364
12,0.28383136762449857,0.42891215006791455
13,0.29061830750051476,0.4312726076683819
14,0.2937375704678971,0.4303066516208834
15,0.29856017267805507,0.4318018242724824
16,0.30197700338201167,0.432087026285765
