Range,ARI,AMI
5,0.0,-6.297796153437033e-13
6,5.567702424945965e-07,5.2801356825877e-05
7,0.035175350508655875,0.04016092941029411
8,0.1723990260798242,0.16485029185806935
9,0.3808100522558867,0.34978266733756674
10,0.45688134317883083,0.4870634035699557
11,0.41039854706551504,0.544018674749527
12,0.40706633034172063,0.6001090195497211
13,0.3979200771550106,0.5985643876277009
14,0.39765191351709,0.5986236709473886
15,0.3962533505739622,0.586976536966335
16,0.1626861330650124,0.36048568728635166
17,0.0,1.4307720329022989e-16
18,0.0,1.4307720329022989e-16
19,0.0,1.4307720329022989e-16
