Range,ARI,AMI
2,-0.0005015654564801079,-0.011291474045437523
3,0.23803154999675324,0.40228348661401137
4,0.21522826204441015,0.34491002419663347
5,0.2115127906848556,0.33315702822700055
6,0.2403051989855591,0.34035740905077777
7,0.2553304026836245,0.3668530696040991
8,0.24806828552166063,0.36185318043069903
9,0.2361435052518355,0.3539494492206366
10,0.22490266189908623,0.3455599453985419
11,0.1919056949557153,0.3076804230477946
12,0.19934416556874024,0.32681866623255046
13,0.17000679388198803,0.2887455453529871
14,0.13653396394569342,0.2547128575130974
15,0.13445253008302763,0.255242287229397
16,0.15731837305039867,0.2915835764812472
