Range,ARI,AMI
5,0.17210591105059103,0.39609939898399865
6,0.26233288659075327,0.46622880419457957
7,0.4849876674397513,0.5548322546288988
8,0.3844150413637474,0.4693617850496921
9,0.4306934330327475,0.5483185873462697
10,0.5034835097898274,0.553799345121889
11,0.6664775668582094,0.6501706164095289
12,0.7170067882164604,0.7087076825349095
13,0.7008310948881048,0.70765735193189
14,0.6894620550580602,0.6836125426969724
15,0.6280349865587376,0.6569856274475115
16,0.7599076947584993,0.7462728128538096
17,0.7436455398701944,0.7289347733718098
18,0.433785621239739,0.5361367898418168
19,0.4388621216080733,0.5481822211854638
