Range,ARI,AMI
10,0.12729748138497363,0.35550204173031213
11,0.12161472374122592,0.3529294256000771
12,0.1414216889734418,0.3416168453932801
13,0.1548936914750836,0.34668475520805064
14,0.14337064684382567,0.355723743711338
15,0.16416744460805194,0.38634978007401133
16,0.14674491384382715,0.35513583834618556
17,0.21662704062351815,0.4383572029343535
18,0.19954103299693737,0.4059394152714921
19,0.10919327985289587,0.32282226955579213
20,0.34497625624336997,0.507179808023964
21,0.15425844909339956,0.34413791088808643
22,0.13379596660822096,0.3304554950457211
23,0.15279163043634567,0.34364154501622757
24,0.1559369703249597,0.34471328841623516
