Range,ARI,AMI
2,0.038190529955731384,0.11232874591517122
3,0.03805441187768192,0.10394189359161843
4,0.03805441187768192,0.10394189359161843
5,0.03805441187768192,0.10394189359161843
6,0.03805441187768192,0.10394189359161843
7,0.03805441187768192,0.10394189359161843
8,0.03805441187768192,0.10394189359161843
9,0.397571733208093,0.411578435455428
10,0.357844925467687,0.3786036673183324
11,0.3389361671772482,0.3649128620181667
12,0.31619612463072394,0.35222271432206576
13,0.30303793476511964,0.35398437837269614
14,0.29369056803760046,0.34951559845170005
15,0.2677603697059846,0.3376045572791336
16,0.22720549056576,0.3156285066117462
