Range,ARI,AMI
1,0.12959446829445495,0.2712619679218688
2,0.28819156831967907,0.4019635437295857
3,0.2428574390327397,0.33608921568176164
4,0.021692845947138106,0.077437056021606
5,0.005984673183190463,0.02248535435677001
6,0.005984673183190463,0.02248535435677001
7,0.005984673183190463,0.02248535435677001
8,0.010578625268392662,0.02265604085704277
9,0.0,-2.8060519038063536e-16
10,0.0,-2.8060519038063536e-16
11,0.0,-2.8060519038063536e-16
12,0.0,-2.8060519038063536e-16
13,0.0,-2.8060519038063536e-16
14,0.0,-2.8060519038063536e-16
15,0.0,-2.8060519038063536e-16
