Range,ARI,AMI
2,-0.00934950687324872,0.028397339345734362
3,0.3768539005734251,0.4607143149209335
4,0.3422308155663096,0.42330180088012404
5,0.2659569871167458,0.35429347757101304
6,0.2474664597563382,0.3551979943919583
7,0.2629705784841301,0.35261618061069105
8,0.26700413822943203,0.3682872111709872
9,0.2631477150558928,0.36612502722714824
10,0.2328527433765018,0.3360128877849947
11,0.2500934594789521,0.335214420960486
12,0.2725891618330081,0.35442876103819976
13,0.2530041764651196,0.35408354497026606
14,0.22765898391161274,0.33333062516313716
15,0.21158007746584212,0.31779614387708566
16,0.21862259518911054,0.32199047298680994
